peak_location;start_window;end_window
2231.16;2180.94;2281.51
2231.61;2181.38;2281.96
2232.06;2181.82;2282.42
2232.5;2182.26;2282.87
2232.95;2182.7;2283.32
2233.4;2183.15;2283.77
2233.85;2183.59;2284.22
2234.29;2184.03;2284.68
2234.74;2184.47;2285.13
2235.19;2184.92;2285.58
2235.64;2185.36;2286.03
2236.08;2185.8;2286.49
2236.53;2186.24;2286.94
2236.98;2186.69;2287.39
2237.43;2187.13;2287.84
2237.87;2187.57;2288.3
2238.32;2188.01;2288.75
2238.77;2188.46;2289.2
2239.22;2188.9;2289.66
2239.66;2189.34;2290.11
2240.11;2189.78;2290.56
2240.56;2190.23;2291.01
2241.01;2190.67;2291.47
2241.46;2191.11;2291.47
2241.9;2191.56;2291.92
2242.35;2192;2292.37
2242.8;2192.44;2292.83
2243.25;2192.89;2293.28
2243.7;2193.33;2293.73
2244.15;2193.77;2294.19
2244.59;2194.21;2294.64
2245.04;2194.66;2295.09
2245.49;2195.1;2295.55
2245.94;2195.54;2296
2246.39;2195.99;2296.45
2246.84;2196.43;2296.91
2247.28;2196.88;2297.36
2247.73;2197.32;2297.81
2248.18;2197.76;2298.27
2248.63;2198.21;2298.72
2249.08;2198.65;2299.18
2249.53;2199.09;2299.63
2249.98;2199.54;2300.08
2250.43;2199.98;2300.54
2250.88;2200.87;2300.99
2251.32;2201.31;2301.44
2251.77;2201.76;2301.9
2252.22;2202.2;2302.35
2252.67;2202.65;2302.81
2253.12;2203.09;2303.26
2253.57;2203.53;2303.72
2254.02;2203.98;2304.17
2254.47;2204.42;2304.62
2254.92;2204.87;2305.08
2255.37;2205.31;2305.53
2255.82;2205.76;2305.99
2256.27;2206.2;2306.44
2256.72;2206.64;2306.9
2257.17;2207.09;2307.35
2257.62;2207.53;2307.81
2258.06;2207.98;2308.26
2258.51;2208.42;2308.72
2258.96;2208.87;2309.17
2259.41;2209.31;2309.62
2259.86;2209.76;2310.08
2260.31;2210.2;2310.53
2260.76;2210.65;2310.99
2261.21;2211.09;2311.44
2261.66;2211.54;2311.9
2262.11;2211.98;2312.35
2262.56;2212.43;2312.81
2263.01;2212.87;2313.26
2263.46;2213.32;2313.72
2263.92;2213.76;2314.18
2264.37;2214.21;2314.63
2264.82;2214.65;2315.09
2265.27;2215.1;2315.54
2265.72;2215.54;2316
2266.17;2215.99;2316.45
2266.62;2216.44;2316.91
2267.07;2216.88;2317.36
2267.52;2217.33;2317.82
2267.97;2217.77;2318.27
2268.42;2218.22;2318.73
2268.87;2218.66;2319.19
2269.32;2219.11;2319.64
2269.77;2219.56;2320.1
2270.22;2220;2320.55
2270.67;2220.45;2321.01
2271.13;2220.89;2321.47
2271.58;2221.34;2321.92
2272.03;2221.79;2322.38
2272.48;2222.23;2322.83
2272.93;2222.68;2323.29
2273.38;2223.12;2323.75
2273.83;2223.57;2324.2
2274.28;2224.02;2324.66
2274.74;2224.46;2325.12
2275.19;2224.91;2325.57
2275.64;2225.36;2326.03
2276.09;2225.8;2326.48
2276.54;2226.25;2326.94
2276.99;2226.69;2327.4
2277.44;2227.14;2327.85
2277.9;2227.59;2328.31
2278.35;2228.03;2328.77
2278.8;2228.48;2329.22
2279.25;2228.93;2329.68
2279.7;2229.38;2330.14
2280.16;2229.82;2330.59
2280.61;2230.27;2331.05
2281.06;2230.72;2331.51
2281.51;2231.16;2331.97
2281.96;2231.61;2331.97
2282.42;2232.06;2332.88
2282.87;2232.5;2332.88
2283.32;2232.95;2333.34
2283.77;2233.4;2333.79
2284.22;2233.85;2334.25
2284.68;2234.29;2334.71
2285.13;2234.74;2335.17
2285.58;2235.19;2335.62
2286.03;2235.64;2336.08
2286.49;2236.08;2336.54
2286.94;2236.53;2337
2287.39;2236.98;2337.45
2287.84;2237.43;2337.91
2288.3;2237.87;2338.37
2288.75;2238.32;2338.83
2289.2;2238.77;2339.28
2289.66;2239.22;2339.74
2290.11;2239.66;2340.2
2290.56;2240.11;2340.66
2291.01;2240.56;2341.12
2291.47;2241.46;2341.57
2291.92;2241.9;2342.03
2292.37;2242.35;2342.49
2292.83;2242.8;2342.95
2293.28;2243.25;2343.41
2293.73;2243.7;2343.86
2294.19;2244.15;2344.32
2294.64;2244.59;2344.78
2295.09;2245.04;2345.24
2295.55;2245.49;2345.7
2296;2245.94;2346.16
2296.45;2246.39;2346.61
2296.91;2246.84;2347.07
2297.36;2247.28;2347.53
2297.81;2247.73;2347.99
2298.27;2248.18;2348.45
2298.72;2248.63;2348.91
2299.18;2249.08;2349.37
2299.63;2249.53;2349.82
2300.08;2249.98;2350.28
2300.54;2250.43;2350.74
2300.99;2250.88;2351.2
2301.44;2251.32;2351.66
2301.9;2251.77;2352.12
2302.35;2252.22;2352.58
2302.81;2252.67;2353.04
2303.26;2253.12;2353.5
2303.72;2253.57;2353.96
2304.17;2254.02;2354.41
2304.62;2254.47;2354.87
2305.08;2254.92;2355.33
2305.53;2255.37;2355.79
2305.99;2255.82;2356.25
2306.44;2256.27;2356.71
2306.9;2256.72;2357.17
2307.35;2257.17;2357.63
2307.81;2257.62;2358.09
2308.26;2258.06;2358.55
2308.72;2258.51;2359.01
2309.17;2258.96;2359.47
2309.62;2259.41;2359.93
2310.08;2259.86;2360.39
2310.53;2260.31;2360.85
2310.99;2260.76;2361.31
2311.44;2261.21;2361.77
2311.9;2261.66;2362.23
2312.35;2262.11;2362.69
2312.81;2262.56;2363.15
2313.26;2263.01;2363.61
2313.72;2263.46;2364.07
2314.18;2263.92;2364.53
2314.63;2264.37;2364.99
2315.09;2264.82;2365.45
2315.54;2265.27;2365.91
2316;2265.72;2366.37
2316.45;2266.17;2366.83
2316.91;2266.62;2367.29
2317.36;2267.07;2367.75
2317.82;2267.52;2368.21
2318.27;2267.97;2368.67
2318.73;2268.42;2369.13
2319.19;2268.87;2369.59
2319.64;2269.32;2370.05
2320.1;2269.77;2370.52
2320.55;2270.22;2370.98
2321.01;2270.67;2371.44
2321.47;2271.13;2371.9
2321.92;2271.58;2372.36
2322.38;2272.03;2372.82
2322.83;2272.48;2373.28
2323.29;2272.93;2373.74
2323.75;2273.38;2374.2
2324.2;2273.83;2374.66
2324.66;2274.28;2375.13
2325.12;2274.74;2375.13
2325.57;2275.19;2375.59
2326.03;2275.64;2376.05
2326.48;2276.09;2376.51
2326.94;2276.54;2376.97
2327.4;2276.99;2377.43
2327.85;2277.44;2377.89
2328.31;2277.9;2378.36
2328.77;2278.35;2378.82
2329.22;2278.8;2379.28
2329.68;2279.25;2379.74
2330.14;2279.7;2380.2
2330.59;2280.16;2380.66
2331.05;2280.61;2381.13
2331.51;2281.06;2381.59
2331.97;2281.96;2382.05
2332.42;2281.96;2382.51
2332.88;2282.87;2382.97
2333.34;2283.32;2383.44
2333.79;2283.77;2383.9
2334.25;2284.22;2384.36
2334.71;2284.68;2384.82
2335.17;2285.13;2385.28
2335.62;2285.58;2385.75
2336.08;2286.03;2386.21
2336.54;2286.49;2386.67
2337;2286.94;2387.13
2337.45;2287.39;2387.6
2337.91;2287.84;2388.06
2338.37;2288.3;2388.52
2338.83;2288.75;2388.98
2339.28;2289.2;2389.45
2339.74;2289.66;2389.91
2340.2;2290.11;2390.37
2340.66;2290.56;2390.83
2341.12;2291.01;2391.3
2341.57;2291.47;2391.76
2342.03;2291.92;2392.22
2342.49;2292.37;2392.69
2342.95;2292.83;2393.15
2343.41;2293.28;2393.61
2343.86;2293.73;2394.08
2344.32;2294.19;2394.54
2344.78;2294.64;2395
2345.24;2295.09;2395.47
2345.7;2295.55;2395.93
2346.16;2296;2396.39
2346.61;2296.45;2396.86
2347.07;2296.91;2397.32
